student_id,day,sleep_hours,study_hours,screen_time_hours,physical_activity_mins,academic_workload_score,social_activity_hours,anxiety_level,mood_rating,routine_consistency_score,journal_entry,stress_score,severity_tier,stress_nature,stress_trajectory,major_factors
STU_001,1,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,3.21,"Struggling to manage daily routine, exams, and keeping up health.",69.9,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_001,2,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,6.28,"Exhausted from constant workload, lack of sleep, and social fatigue.",69.94,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_001,3,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,7.65,"Exhausted from constant workload, lack of sleep, and social fatigue.",69.54,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_001,4,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,4.43,"Struggling to manage daily routine, exams, and keeping up health.",73.59,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_001,5,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,7.93,"Everything is building up at once - exams, poor sleep, and placement worries.",72.92,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_001,6,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,5.21,"Struggling to manage daily routine, exams, and keeping up health.",70.34,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_001,7,4.6,4.65,4.12,48.1,7.06,4.57,5.5,6.0,3.66,Feeling overwhelmed by academic deadlines and personal life stress.,70.31,High,Mixed,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload""]"
STU_002,1,4.42,5.06,8.12,0.7,5.55,1.5,7.29,3.98,6.75,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",94.77,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_002,2,4.2,5.06,8.07,4.1,5.48,1.5,7.4,3.78,8.63,Disrupted sleep schedule and constant headaches throughout the morning.,90.97,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_002,3,3.88,5.06,8.68,5.3,6.09,1.5,7.56,3.49,7.56,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",98.0,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_002,4,4.18,5.06,8.11,1.6,5.89,1.5,7.41,3.77,5.47,Screen usage late at night is ruining my sleep quality.,94.17,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_002,5,4.49,5.06,8.96,0.1,5.81,1.5,7.26,4.04,4.49,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,95.75,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_002,6,3.53,5.06,8.47,4.8,5.52,1.5,7.73,3.18,4.38,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",98.0,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_002,7,4.0,5.06,9.33,5.5,5.9,1.5,7.5,3.6,7.86,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",95.53,Severe,Sleep-related,Stable,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_003,1,3.65,8.98,8.24,21.2,7.72,4.44,7.67,3.29,6.44,Screen usage late at night is ruining my sleep quality.,98.0,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_003,2,4.47,8.98,9.29,20.0,7.05,4.44,7.26,4.02,8.0,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",93.62,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_003,3,3.84,8.98,8.44,27.2,7.19,4.44,7.58,3.46,9.32,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",98.0,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_003,4,4.26,8.98,8.76,21.0,7.14,4.44,7.37,3.84,3.99,Disrupted sleep schedule and constant headaches throughout the morning.,96.17,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
